case,z_real_ohm,z_imag_ohm,z_abs_ohm,coil_rms_A_at_3V3_fundamental,coil_peak_V_at_3V3_fundamental
22,22.572686305913564,2.0162608901338523,22.662556674882495,0.23068152026750388,43.335373162698545
23,17.52265141279502,-1.1661939073954648,17.56141568222715,0.2586147240113547,48.582849451504615
24,15.69816165788515,-2.851008168480435,15.954953055833089,0.26827527724934014,50.397661834571736
25,16.860373290966326,-1.4564203731112655,16.92316010129149,0.2630656761696904,49.41899650171965
26,20.755096414286847,0.7654088854551175,20.76920503842832,0.24142503658449324,45.35362884324192
27,20.36454708029542,0.47453075944652834,20.37007504225818,0.24238083336089128,45.533182931167495
28,19.814491173406726,0.09445254164385321,19.81471629228226,0.2460569934453098,46.2237790780949
29,19.43936956651748,0.4495663890610883,19.44456734108063,0.24754112529608618,46.50258514587813
30,19.763453120804307,0.4635913229361912,19.768889603944153,0.24669357340364206,46.34336572729953
31,19.461688885113038,0.5764775449320573,19.470224976120416,0.24757299540694566,46.50857220173432
32,20.17438995454219,0.5713419294582611,20.18247858015189,0.243572535043076,45.7570536471061
33,18.559377357039264,0.1284751321138755,18.55982202879525,0.2529797752228188,47.52427914114456
34,20.324554023485288,0.620660999164477,20.334028531736053,0.2431885820289504,45.68492499490725
35,18.28135727291505,-0.3752305141563659,18.28520772861818,0.254305012969011,47.773235677385244
36,17.37931580612695,-0.9849317065610975,17.4072027722918,0.26052435802462476,48.94158951214438
37,18.275473530420374,-0.5789277283836528,18.28464082435822,0.254436048683269,47.79785178693935
38,18.44571597661105,-0.4417050115409672,18.45100379944204,0.25370515617458833,47.660547768963546
39,20.501967078030955,0.6964578658457203,20.513793106774852,0.24192082840038961,45.44676731106531
40,20.709341783064303,0.7720355644495708,20.723727367453662,0.24099743175132735,45.273299846840615
41,20.199640087433732,1.0953580240452432,20.22931706367519,0.24364393139562554,45.770466024381044
42,18.54627078705082,-0.30285031001915974,18.548743310987224,0.25308548389943963,47.54413736360897
43,19.78695753672706,0.7796545935514798,19.802311729833104,0.24562001531388122,46.141689232460806
44,20.88206820001724,0.6170803928268955,20.89118379894693,0.24022014569977443,45.12728042985765
45,18.235115698617616,-0.23274379077045587,18.23660095012535,0.25524429260885206,47.9496868887759
46,19.43163724958165,0.22942662485866747,19.43299160642857,0.24775003370942816,46.541830266330365
47,20.46521218849386,1.0294105663386688,20.49108577001637,0.24208230053292154,45.477101145828186
48,21.101443191164527,0.83152727542921,21.117820492648537,0.2389669264144177,44.891853138921434
49,20.845494576188674,0.7133294577295068,20.857696014689065,0.23953643719608633,44.998840305536135
50,20.537556053270407,1.2846708866117913,20.577696370782903,0.2417639862437477,45.417303254396025
51,17.679843328033034,-0.43039765211783115,17.68508134679461,0.25849138657983256,48.55967952608648
52,16.972114230651556,-1.647925936822444,17.051930135663152,0.2623474211848133,49.284066543916715
53,22.32965915997918,1.4629360410456294,22.377530249360234,0.23291704907741428,43.75533517387781
54,18.09314405879275,-0.7572594153218598,18.10898406190477,0.2556942556207942,48.034216048325874
55,17.626896490643958,-0.29275455659059213,17.629327415482443,0.2595711049462686,48.76251327829112
56,20.661258999411057,0.9464579861283459,20.68292547393261,0.24088862148250095,45.252858965412166
57,21.119699385339214,0.9044130408752294,21.139055444262468,0.23914321248646067,44.92496989099813
58,21.679741009389762,1.2115162069194856,21.713565846121284,0.23504267194146147,44.154650471912205
59,17.961721853433414,-0.47406653012818945,17.967976820307157,0.2575126022455749,48.37580704110513
60,19.58708220097573,0.44057847144683643,19.59203661024761,0.24722613664732332,46.44341200266177
61,15.90934993002857,-2.2641186923254444,16.069649923039318,0.26809175427068577,50.36318557156335
62,20.235189551860955,0.07916795004110122,20.23534441921008,0.2430984266887082,45.66798859138661
63,17.610227336051178,-0.7423718546333268,17.625868001263253,0.25828755662718494,48.52138843519426
64,19.331875552649244,0.01842809163372064,19.331884335927494,0.24838847056413196,46.66176574840679
65,18.77755739893574,-0.874196957379697,18.79789568517227,0.25107906891890075,47.16721622228802
66,18.31358594478676,-0.13766917352361166,18.314103389421764,0.25444559571044106,47.79964527254069
67,18.789049083295552,-0.33678983163030807,18.79206728503224,0.25119123602096766,47.18828771175544
68,18.48792043859843,-0.7223221591125356,18.50202560384918,0.2537295327572744,47.66512710547
69,20.387431033370035,1.0191966306454252,20.412890679968346,0.24238098841474934,45.53321205927792
70,20.142744723456364,0.279950170267162,20.14469004706108,0.24394787686376163,45.82756461757359
