References,MPN,LCSC,Package,Per_board,Boards,Placements,Minimum_placement,Loss_allowance,Planning_quantity,Available_order_quantity,Stock_status,Library,Assembly_mode,Preorder_MOQ,Observed_UTC,Source
"Q2, Q4, Q5",BSS138,C52895,SOT-23,3,5,15,5,4,19,62774,AVAILABLE,expand,smtWeld,175,2026-09-21T17:35:30.563509+00:00,https://jlcpcb.com/partdetail/C52895
"R1, R2",0603WAF5101T5E,C23186,0603,2,5,10,20,10,30,25878453,AVAILABLE,base,smtWeld,5000,2026-09-21T17:35:31.933117+00:00,https://jlcpcb.com/partdetail/C23186
"R3, R5, R8, R9, R10, R11, R21, R35, R37",0603WAF1002T5E,C25804,0603,9,5,45,20,10,55,19402138,AVAILABLE,base,smtWeld,4102,2026-09-21T17:35:31.886702+00:00,https://jlcpcb.com/partdetail/C25804
"R4, R19, R20",0603WAF2201T5E,C4190,0603,3,5,15,20,10,30,5347892,AVAILABLE,base,smtWeld,5000,2026-09-21T17:35:32.217576+00:00,https://jlcpcb.com/partdetail/C4190
R6,RT0603BRD07220KL,C861231,0603,1,5,5,20,8,28,11070,AVAILABLE,expand,smtWeld,203,2026-09-21T17:35:33.443522+00:00,https://jlcpcb.com/partdetail/C861231
R7,RT0603BRD0748K7L,C861429,0603,1,5,5,20,8,28,9979,AVAILABLE,expand,smtWeld,181,2026-09-21T17:35:33.515487+00:00,https://jlcpcb.com/partdetail/C861429
"R12, R13",0603WAF220JT5E,C23345,0603,2,5,10,20,10,30,8329420,AVAILABLE,base,smtWeld,5000,2026-09-21T17:35:33.728112+00:00,https://jlcpcb.com/partdetail/C23345
R14,0603WAF1000T5E,C22775,0603,1,5,5,20,10,30,11486373,AVAILABLE,base,smtWeld,3610,2026-09-21T17:35:36.331898+00:00,https://jlcpcb.com/partdetail/C22775
"R15, R16",0603WAF4703T5E,C23178,0603,2,5,10,20,10,30,1503872,AVAILABLE,base,smtWeld,3923,2026-09-21T17:35:35.070689+00:00,https://jlcpcb.com/partdetail/C23178
"R17, R18, R22, R23, R24, R33, R34, R36, R40",0603WAF1003T5E,C25803,0603,9,5,45,20,10,55,21941936,AVAILABLE,base,smtWeld,3760,2026-09-21T17:35:35.282537+00:00,https://jlcpcb.com/partdetail/C25803
"R25, R26",0805W8F2201T5E,C17520,0805,2,5,10,20,10,30,3565110,AVAILABLE,base,smtWeld,2314,2026-09-21T17:35:36.692538+00:00,https://jlcpcb.com/partdetail/C17520
"R27, R28",CRCW12062R70FKEAHP,C2079511,1206,2,5,10,5,4,14,130,AVAILABLE,expand,smtWeld,78,2026-09-21T17:35:36.855643+00:00,https://jlcpcb.com/partdetail/C2079511
R29,0603WAF0000T5E,C21189,0603,1,5,5,20,10,30,16654069,AVAILABLE,base,smtWeld,4749,2026-09-21T17:35:37.925159+00:00,https://jlcpcb.com/partdetail/C21189
R30,CPF0805B1M8E,C2088132,0805,1,5,5,5,0,5,154,AVAILABLE,expand,smtWeld,26,2026-09-21T17:35:38.307091+00:00,https://jlcpcb.com/partdetail/C2088132
R31,RT0603BRD07200KL,C728585,0603,1,5,5,20,8,28,256744,AVAILABLE,expand,smtWeld,162,2026-09-21T17:35:38.497134+00:00,https://jlcpcb.com/partdetail/C728585
R32,0603WAF9103T5E,C23263,0603,1,5,5,20,10,30,285649,AVAILABLE,expand,smtWeld,5000,2026-09-21T17:35:39.476614+00:00,https://jlcpcb.com/partdetail/C23263
"R41, R42",RC0805JR-070RL,C96345,0805,2,5,10,20,10,30,3049180,AVAILABLE,expand,smtWeld,2099,2026-09-21T17:35:40.003119+00:00,https://jlcpcb.com/partdetail/C96345
"SW1, SW2",B3U-1000P,C231329,"SMD,3x2.5mm",2,5,10,5,2,12,160586,AVAILABLE,expand,smtWeld,49,2026-09-21T17:35:40.108252+00:00,https://jlcpcb.com/partdetail/C231329
U1,TP4054-42-SOT25R,C32574,SOT-23-5,1,5,5,5,2,7,28557,AVAILABLE,expand,smtWeld,86,2026-09-21T17:35:41.050982+00:00,https://jlcpcb.com/partdetail/C32574
U2,SY8089AAAC,C78988,SOT-23-5,1,5,5,5,2,7,54746,AVAILABLE,expand,smtWeld,77,2026-09-21T17:35:41.579269+00:00,https://jlcpcb.com/partdetail/C78988
